player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value
Brendan Donovan,SEA,hitter,2B/OF,thebatx,24679,680977,569.307,503.536,,65.6085,13.8342,63.7189,5.11679,0.264287,,,,,,2.0616241527310506,1.1366682642930501,2.0657711979697426,0.4939428675127791,0.6835960477644483,0.0,0.0,0.0,0.0,0.0,6.441602530271071,2.135336849172787,12.958330863637993
Maikel Garcia,KCR,hitter,3B,thebatx,22715,672580,639.538,576.13,,82.3829,13.134,66.2983,25.1774,0.26992,,,,,,2.5887282350918994,1.0791372817528244,2.149395526513443,2.4304685462010838,0.9449814384486049,0.0,0.0,0.0,0.0,0.0,9.192711028007857,4.886445346909572,29.653483279168967
Austin Wells,NYY,hitter,C,thebatx,27562,669224,441.062,394.7,,49.5423,17.5488,52.0237,3.31499,0.216713,,,,,,1.5567739281015038,1.44187333105101,1.686611995370581,0.3200083775914563,-0.4063030286198862,0.0,0.0,0.0,0.0,0.0,4.5989646034946645,0.2926989223963803,1.776248783095713
Brent Rooker,ATH,hitter,DH/OF,thebatx,19627,667670,638.681,565.931,,89.52,33.9494,94.418,6.67682,0.266286,,,,,,2.8129982266395914,2.7894063676823,3.0610381687365473,0.6445383954914455,0.8250648480313344,0.0,0.0,0.0,0.0,0.0,10.133046006581218,5.826780325482933,35.35992335663309
Nick Kurtz,ATH,hitter,1B,thebatx,35110,701762,579.097,498.967,,83.8585,33.6699,88.0907,3.20314,0.25111,,,,,,2.6350961996051856,2.766441629578911,2.8559066598606258,0.3092110789469341,0.3475033353159223,0.0,0.0,0.0,0.0,0.0,8.914158903307579,4.607893222209294,27.963084597558673
Taylor Ward,BAL,hitter,OF,thebatx,17548,621493,630.484,552.051,,81.5467,27.509,81.7971,4.71963,0.245917,,,,,,2.562452217251014,2.2602396439575485,2.6518677073435177,0.4556035279539199,0.24063395642946098,0.0,0.0,0.0,0.0,0.0,8.170797052935463,3.8645313718371783,23.45197956405556
Yainer Diaz,HOU,hitter,C/DH,thebatx,23003,673237,516.084,485.256,,58.5469,17.4925,65.9661,1.58302,0.269386,,,,,,1.839726607185495,1.4372475179732966,2.1386255792612845,0.15281483862540374,0.7829263711841032,0.0,0.0,0.0,0.0,0.0,6.351340914229583,2.045075233131299,12.410576589924522
Randy Arozarena,SEA,hitter,OF,thebatx,19290,668227,650.708,563.779,,87.7689,24.0994,73.6498,23.8436,0.232271,,,,,,2.7579731909529452,1.9800944881889762,2.387731671077686,2.301711845869715,-0.140260651612901,0.0,0.0,0.0,0.0,0.0,9.287250544476422,4.980984863378137,30.22719807014567
Gleyber Torres,DET,hitter,2B,thebatx,16997,650402,631.352,550.717,,75.0785,16.9088,68.4969,7.1111,0.255602,,,,,,2.3592011545884786,1.3892885997945907,2.2206742924032534,0.6864610674212003,0.5076664160539387,0.0,0.0,0.0,0.0,0.0,7.1632915302614615,2.8570258491631773,17.33791380679114
Ben Rice,NYY,hitter,1B/DH,thebatx,29576,700250,541.356,475.304,,73.3195,25.7673,71.2518,5.1816,0.249091,,,,,,2.3039278762075686,2.1171352276617594,2.3099883432309807,0.5001992191010802,0.28287421872707413,0.0,0.0,0.0,0.0,0.0,7.514124884928463,3.2078592038301785,19.46695245918747
George Springer,TOR,hitter,OF,thebatx,12856,543807,568.284,498.694,,81.6787,26.5268,76.3972,12.1695,0.26296,,,,,,2.566600069864022,2.1795385142074633,2.4768025713804542,1.1747673299464634,0.6438189518674486,0.0,0.0,0.0,0.0,0.0,9.04152743726585,4.735261756167566,28.73602288375328
Miguel Vargas,CHW,hitter,3B,thebatx,20178,678246,580.593,513.707,,70.1419,22.4302,71.0354,7.37865,0.244411,,,,,,2.2040777514871714,1.8429469359808284,2.3029726400841803,0.7122886691408418,0.18510323894533146,0.0,0.0,0.0,0.0,0.0,7.2473892356383525,2.9411235545400682,17.84826227549699
Luke Keaschall,MIN,hitter,2B,thebatx,33321,807712,534.407,474.635,,68.3415,10.5178,52.1708,19.9712,0.271194,,,,,,2.147503555695818,0.8641807600136938,1.6913809876667656,1.927894597134378,0.8088466441841887,0.0,0.0,0.0,0.0,0.0,7.439806544694844,3.1335408635965596,19.015950247355303
Trevor Story,BOS,hitter,SS,thebatx,12564,596115,575.096,521.483,,74.1749,21.3711,69.9686,21.9211,0.249013,,,,,,2.3308072180648907,1.7559274221157135,2.2683869094140943,2.1161257337186754,0.30831649312273984,0.0,0.0,0.0,0.0,0.0,8.779563776436115,4.473298095337831,27.146291599625155
Yandy Díaz,TBR,hitter,1B/3B,thebatx,16578,650490,615.681,549.859,,77.1013,23.1955,84.5934,2.12505,0.285802,,,,,,2.4227638535702316,1.905826771653543,2.7425239490690148,0.20513902087207628,1.3400556127981424,0.0,0.0,0.0,0.0,0.0,8.61630920796301,4.3100435268647255,26.155578254283657
Riley Greene,DET,hitter,OF,thebatx,25976,682985,629.559,561.871,,80.6538,26.8697,82.756,3.71801,0.247448,,,,,,2.5343945081740875,2.2077124272509416,2.6829553124612016,0.35891340485757434,0.288075496642185,0.0,0.0,0.0,0.0,0.0,8.07205114938599,3.7657854682877057,22.852738235869495
Jacob Wilson,ATH,hitter,SS,thebatx,33266,805779,574.73,532.531,,65.3748,7.04931,56.3304,5.15225,0.292511,,,,,,2.0542805682184757,0.5791969873331051,1.8262355108157047,0.4973659538778641,1.4770856902598548,0.0,0.0,0.0,0.0,0.0,6.434164710505005,2.127899029406721,12.913194317865308
Bo Naylor,CLE,hitter,C,thebatx,21865,666310,445.615,393.001,,49.586,15.9748,50.2895,5.18497,0.212276,,,,,,1.5581471187014162,1.3125477576172542,1.6303891099861954,0.5005245377996232,-0.49204514836396457,0.0,0.0,0.0,0.0,0.0,4.509563375740524,0.2032976946422398,1.2337157914965662
Kazuma Okamoto,TOR,hitter,3B,thebatx,sa3063134,672960,523.02,460.177,,65.8474,25.2744,73.5458,1.33903,0.236223,,,,,,2.0691311374980765,2.076636768230058,2.3843599837982627,0.1292615717834104,-0.023238050703184573,0.0,0.0,0.0,0.0,0.0,6.636151410606623,2.329885729508339,14.138954314928608
Brandon Nimmo,TEX,hitter,OF,thebatx,12927,607043,614.136,540.204,,78.4339,21.4973,71.2805,7.58517,0.251182,,,,,,2.4646383110860928,1.7662964738103388,2.3109187992398215,0.7322248168034855,0.37817417010913645,0.0,0.0,0.0,0.0,0.0,7.652252571048876,3.3459868899505913,20.3051828577639
Trent Grisham,NYY,hitter,OF,thebatx,18564,663757,518.687,439.671,,68.1837,24.7089,64.5896,5.44632,0.223035,,,,,,2.142544986435723,2.0301732283464564,2.093999352913916,0.5257536303409363,-0.31313178266879316,0.0,0.0,0.0,0.0,0.0,6.479339415368238,2.1730737342699538,13.187337843516422
Mike Trout,LAA,hitter,OF,thebatx,10155,545361,502.22,424.383,,64.3204,24.6602,68.6351,3.36821,0.237682,,,,,,2.0211480243157864,2.0261718589524134,2.2251547460764876,0.3251459031512369,0.009636089087999433,0.0,0.0,0.0,0.0,0.0,6.6072566215839235,2.3009909404856392,13.963605757376103
Ryan Jeffers,MIN,hitter,C,thebatx,24618,680777,505.368,444.477,,56.9791,15.9335,55.3099,2.34702,0.236213,,,,,,1.7904614304682749,1.3091543991783634,1.7931508293863623,0.2265666147936192,-0.022668243855682058,0.0,0.0,0.0,0.0,0.0,5.096665029970938,0.7903993488726542,4.796552956534076
Carlos Correa,HOU,hitter,SS,thebatx,14162,621043,545.71,485.483,,62.1003,14.753,61.11,0.462389,0.259778,,,,,,1.9513855426026208,1.2121602191030467,1.9811904773612066,0.04463613878356673,0.549253938496459,0.0,0.0,0.0,0.0,0.0,5.738626316346899,1.4323606352486147,8.692306806203733
J.P. Crawford,SEA,hitter,SS,thebatx,15491,641487,577.654,500.254,,61.5374,9.93346,52.9326,4.29322,0.240418,,,,,,1.9336974650582126,0.8161692571037316,1.7160785969885421,0.4144405765456885,0.08003202454526033,0.0,0.0,0.0,0.0,0.0,4.960417920241436,0.6541522391431513,3.9697348703041473
Daulton Varsho,TOR,hitter,OF,thebatx,19918,662139,545.727,492.156,,69.7426,26.3242,71.8102,9.85773,0.220894,,,,,,2.1915304973328236,2.162892160219103,2.3280917103158845,0.9516035294328569,-0.4033802478135875,0.0,0.0,0.0,0.0,0.0,7.230737649487081,2.924471968388797,17.7472118192956
Kevin McGonigle,DET,hitter,SS,thebatx,sa3022895,805808,446.713,401.014,,55.2198,13.0484,49.8624,9.68747,0.254213,,,,,,1.735178725149608,1.0721040739472782,1.6165424980915633,0.93516769512605,0.34171851745906057,0.0,0.0,0.0,0.0,0.0,5.70071150977356,1.3944458286752761,8.46222010658138
Colton Cowser,BAL,hitter,OF,thebatx,29591,681297,512.5,454.16,,65.8248,20.9363,61.9553,11.1201,0.228745,,,,,,2.0684209748537286,1.720202670318384,2.0085951625275205,1.0734648248274514,-0.19333631176246227,0.0,0.0,0.0,0.0,0.0,6.677347320764621,2.371081639666337,14.388952451879621
Jarren Duran,BOS,hitter,OF,thebatx,24617,680776,615.296,552.792,,83.6145,19.3458,71.5882,25.0427,0.261811,,,,,,2.627428956896293,1.589521396781924,2.3208944547771155,2.417465451633206,0.6817914550574725,0.0,0.0,0.0,0.0,0.0,9.637101715146011,5.330836034047727,32.350276320925566
Colson Montgomery,CHW,hitter,SS,thebatx,29712,695657,550.992,492.572,,62.1575,22.8043,66.5692,3.58504,0.217059,,,,,,1.9531829454015908,1.873684354673057,2.158178123474941,0.34607731365719785,-0.4985009921931787,0.0,0.0,0.0,0.0,0.0,5.832621745013608,1.5263560639153235,9.262719790368058
Jackson Holliday,BAL,hitter,2B,thebatx,31781,702616,504.755,448.522,,64.2008,13.2092,51.3377,14.0115,0.250885,,,,,,2.0173898184633945,1.0853159876754535,1.6643718273543842,1.3525824761530771,0.30730768646740436,0.0,0.0,0.0,0.0,0.0,6.426967796113713,2.120702115015429,12.869519710781294
Wilyer Abreu,BOS,hitter,OF,thebatx,23772,677800,504.634,447.43,,62.7783,22.3169,69.8618,8.58677,0.239585,,,,,,1.9726904219330683,1.8336377952755905,2.2649244459386866,0.8289130092250622,0.05288070177663824,0.0,0.0,0.0,0.0,0.0,6.9530463741490465,2.6467806930507622,16.0620372178411
Dillon Dingler,DET,hitter,C,thebatx,27464,693307,417.283,383.114,,43.3713,11.0425,46.4462,1.66519,0.241398,,,,,,1.362861818443406,0.9072920232796987,1.5057890549765025,0.16074701591302448,0.08012963876194848,0.0,0.0,0.0,0.0,0.0,4.01681955137458,-0.28944612972370454,0.0
Jordan Westburg,BAL,hitter,2B/3B,thebatx,27815,676059,394.449,360.557,,52.1974,15.7869,49.4183,5.09864,0.259787,,,,,,1.6402054695620802,1.2971092091749399,1.6021447450070254,0.4921907801600917,0.40808101766511823,0.0,0.0,0.0,0.0,0.0,5.4397312215692555,1.1334655404709713,6.8784564372806365
Tyler Soderstrom,ATH,hitter,1B/OF,thebatx,27467,691016,584.997,523.903,,74.9677,23.3649,74.2385,5.88521,0.255582,,,,,,2.3557194722436203,1.9197452927079766,2.4068173662834225,0.5681213228048997,0.4824227884018907,0.0,0.0,0.0,0.0,0.0,7.73282624244181,3.4265605613435257,20.794145661553927
Jose Altuve,HOU,hitter,2B,thebatx,5417,514888,600.038,540.595,,74.4873,20.4778,69.5806,11.4498,0.253713,,,,,,2.3406238025823423,1.6825306401917148,2.255807922256246,1.1052919983911433,0.4470985644671826,0.0,0.0,0.0,0.0,0.0,7.831352927888629,3.5250872467903447,21.39205666066026
